,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
PROD,Ensure Final Shop is in for WG testing,TODO,Fri Jul 18,,Final Shop CL: 12345,"1. Send message in the #fn-release-CHECKLIST-VERSION-ext channel using the suggested text in Columns H/I
",:shopping_bags: CHECKLIST_VERSION Final Shop Changes :shopping_bags: ,"Hello there @juan romero @nick.owens @Steve.Allison @amanda.perry @Matthew.Geisen @alison.McKenzie 

Just double checking in on final shop delivery. Anything else coming in hot? 
I see the last committed change on INSERT_JIRA_FROM_ROW46 is FIX_CL_FROM_JIRA

We are starting pre-cert checks INSERT_DAY and want to ensure QA is running their :whiteglove-wave: against the final shop revisions if they are locked in.

We are targeting to go to cert on INSERT_CERT_DAY :smiley: ",Yes,
PROD,"Send Last Call bump for callouts in the Release Strategy Email. 

WIKI",TODO,Sat Jul 19,,,"1. Go to your email and search for the ""CHECKLIST_VERSION Release Strategy""
2. Send a follow up email using the suggested text in Column H
   a. Deadline for a Tuesday deploy is noon on the Friday
   b. Deadline for a Friday deploy is noon on the Tuesday","Bumping the thread here for any last minute CHECKLIST_VERSION Call Outs

Recopy the deadline line from the original email in again",Replace with Pre-Pop,Yes,
PROD,"Determine Ship List (using the below Airtable) and pin it in Slack

New Hotness: 
Deliverables Roadmap
Build View",TODO,Sat Jul 19,,Slack: LINK,"1. Go to the Deliverables Roadmap and set the filter date to the deploy date
2. Compile a list of all changes going into the release using the format in Column H
3. Post to #fn-release-CHECKLIST-VERSION-ext channel and Pin the message.
     Example Here","CHECKLIST_VERSION Ship List :ship:
- Items/Gameplay: XXX
- REGS/Quests: XXX
- Creative: XXX

:exclamation: Disclaimer: :exclamation: 
If there is anything missing or incorrect with this list, please have the corresponding owners update the Airtable from which this information is taken from (Deliverables Roadmap)",,Yes,
PROD,"Whiteglove has been completed on INITIAL release candidate (aka crit checks) and issues called out have been threaded/escalated for triage

Note: We will never be releasing this build. There will always be another CL for our final candidate (THIS LINE)",TODO,Sat Jul 19,,Slack WG: LINK,"1. Go to #fn-release-CHECKLIST-VERSION-ext and search for ""Fortnite CHECKLIST_VERSION Whiteglove:"" 
   a. This should bring up all instances of whitegloves bring run
2. Ensure RQA completes the Client WG the day before cert submission (ideally 2 days before)
   a. You can track progress in TestRail (STC) if you have access
3. Ensure issues called out from the WG are appropriately threaded (outside the WG thread) and triaged in the #fn-release-CHECKLIST-VERSION-ext channel",,,,
,Release Candidate Build (Locked in)	,,,,,,,,,
,,IN PROGRESS,,,,,,,,
PROD,Ensure that the Branch Tab within the Game Config Doc has been locked at Noon,TODO,Mon Jul 21,,Slack: LINK,1. Spin up a thread in the #fn-release-CHECKLIST-VERSION-ext slack channel using the suggested text in Column H,":airhorn-9469: Hello team!
Just calling out that the release team has locked the CHECKLIST_VERSION tab of Game Config today. Any further edits to this tab should go through the `Game Config Update` Service Desk Request from this point forward! :lock:
Thanks! ",,Maybe?,
PROD,Aegis Prewarm (Final Client and Server CL),TODO,Sun Jul 20,,Slack: LINK,"Follow the Aegis Prewarm User Guide to pre-warm islands in advance of any Client deployment (tag Garry Casey, Derek Burandt if any questions or issues in #fne-aegis-prewarm-reports-ext)",,,,
PROD,2nd touchpoint with Calendar owners,TODO,Sun Jul 20,,Slack: LINK,"1. Revisit thread in THIS and poke calendar owners with the text provided in Row H
2. Confirm with all calendar owners that relevant calendars have been published to live ahead of CHECKLIST_VERSION release",,"Happy Day Before Deploy Day!

Checking in to make sure all changes have been promoted to live leading up to our deploy on INSERT_DEPLOY_DAYnDATE. ",,
,Signoff and Submission,,,,,,,,,
,,IN PROGRESS,,,,,,,,
PROD,Whiteglove has been completed on FINAL release candidate (aka Cert Checks) and issues called out have been threaded for triage,TODO,Sat Jul 19,,Slack: LINK_TO_WG,"1. Go to #fn-release-CHECKLIST-VERSION-ext and search for ""beginning whiteglove of:"" 
   a. This should bring up all instances of whitegloves bring run
2. Ensure RQA completes the Final Client+Server+MCP WG the day of Cert Submission
   a. You can track progress in TestRail (STC) if you have access
3. Ensure issues called out from the WG are appropriately threaded (outside the WG thread) and triaged in the #fn-release-CHECKLIST-VERSION-ext channel",,,,
,Pre-Release	,,,,,,,,,
,,IN PROGRESS,,,,,,,,
PROD,Confirm Release QA is patched up and ready for the morning,TODO,Sat Jul 19,,"Set a scheudled reminder for the deploy owners 1 days prior during their core hours (or if they are OOO at that time, find a time when they are available before the deployment)

NEEDS TO HAPPEN BEFORE 12PM ET (For Ivan and Tatiana)

Slack: LINK","1. Create new thread in #release-team channel using the suggested text in Column H
   a. Needs to happen before 12pm ET as Ivan will be gone after then
2. Make sure you have the currently live build installed in your launcher so you can verify the Win patch size come deploy day should you need to","Friendly reminder to the morning deploy owners @RQA1 @RQA2 to ensure your devices are all patched up for the morning deploy. 

:thankskeanu: ",,Yes,
PROD,"Release Strategy Async Post

Example Post: LINK",TODO,Sun Jul 20,,Slack: LINK,"1. Create a new thread in #fn-release-CHECKLIST-VERSION-ext channel
2. Perform the steps outlined in Column I to layout the info consistently
3. Pin the post",,"0. Begin post with the following line
    :announcement-1: CHECKLIST_VERSION Go Live Information

Real Ticket Info
1. Add a line break using SHIFT+ENTER and then Copy all info in the BUILD INFO / PATCH SIZES section of the REAL-XXXX ticket and CTRL+SHIFT+V to paste values only into the slack post
    a Highlight the ++CLs and CTRL+SHIFT+C to turn them orange
    b. Highlight the Client / Server / Patch Size info and CTRL+SHIFT+9 to Block Quote them
2. Add a line break using SHIFT+ENTER and then Copy all info in the DESCRIPTION section of the REAL-XXX ticket and paste below the above info in the slack post
   a. Properly tag any people using @person if they are listed in plain text - Should we do this or leave it as plain text?

Go Live Hotfix
3. Ask RQA if the final Game Config and add a line under the above section with it

Major Items
4. Hit SHIFT+ENTER x3 to properly line break, then Add the following section below (BLUE TEXT indicates linking to the corresponding item). 
   a. Copy the blue items and CTRL+SHIFT+8 to list as bullet items

Major Items: INSERT_MAJOR_ITEMS_EX_PRODUCT_NEW_SEASON
Run of Show related links can be found in the Run of Show bookmark Folder at the top of this channel

Ship List
5. Hit SHIFT+ENTER x3 to properly line break, then lastly go to the Ship List (should be pinned in the #fn-release-CHECKLIST-VERSION-ext channel) and copy and paste that info below the major items


Should result in a post like THIS
",,
"Remove on cadence, Prod to handle this by request","Record Post PD CLs

(I don't see a point in doing this if nobody is looking, so setting to N/A for now. 
Don't waste your time with this clunky process. 
Justin will save us all with his airtable anyhow!)",N/A,Sun Jul 20,,Tracker Tab: LINK,"1. Go to the Post PD Commits Tracker
2. Follow the instructions to complete the task
3. Link the tab in F103

NOTE: This an interim process. Ideally we can pull this data more efficiently through the submit tool flow",,,,
,"   ___     ___  __      __          ___             _ __     _              _  _  
  | _ \   / _ \ \ \    / /  o O O  |   \    ___    | '_ \   | |     ___    | || | 
  |   /  | (_) | \ \/\/ /  o       | |) |  / -_)   | .__/   | |    / _ \    \_, | 
  |_|_\   \___/   \_/\_/  TS__[O]  |___/   \___|   |_|__   _|_|_   \___/   _|__/  
_|""""""""""|_|""""""""""|_|""""""""""| {======|_|""""""""""|_|""""""""""|_|""""""""""|_|""""""""""|_|""""""""""|_| """"""""| 
""`-0-0-'""`-0-0-'""`-0-0-'./o--000'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-' ",,,,,,,,,
,Lead-up to Downtime - Deployment Owner	,,,,,,,,,
,Item,Status,Due buy,Done by,Temp-Notes, Perma-Notes,,,,
,During Downtime - Deployment Owner	,,,,,,,,,
,Item,Status,Due Buy,Done by,Temp-Notes, Perma-Notes,,,,
,Post-Release - Deployment Owner	,,,,,,,,,
,Item,Status,Due Buy,Done by,Temp-Notes, Perma-Notes,,,,
,,DONE,,,,,,,,
,,N/A,,,,,,,,
,Not currently relevant (re-visit as needed)	,,,,,,,,,
,Item,Status,Due by,Done by,Temp-Notes, Perma-Notes,,,,
"Likely remove, should fall under the teams owning testing of these",Ensure TestFlight Beta App Review has been submitted,,Thu Jul 17,,Slack: LINK,"1. Track review in Apple Cert Timing Tracker
   a. If info has not been filled out, reach out to Chris Etuk for a status update in the fn-release-CHECKLIST-VERSION-ext channel using the suggested text in column H/I

Alternatively you can see if TestFlight Beta Review has been submitted by enabling notifications in sweden on your AppStore Connect profile and filtering your email for the following ""has words""
""Your app Fortnite (6483539426) has been approved for beta testing""",":apple-neon: CHECKLIST_VERSION TestFlight Beta App Review Status :apple-deal: 
","Hey @chris Etuk
I noticed that we haven't submitted a CHECKLIST_VERSION build to TestFlight Beta yet. 
Any plan for when that will happen? ",,
,"Confirm MCP deploy percentage with OGS (tag Pete Axt & Joe Pintozzi) and Live Ops.
   WIKI",,Sun Jul 20,,Slack: LINK,1. Make a post in #epic-live-operations-ext or #on-dbs-game-services-ext using the suggested text in Column H,"@Joe Pintozzi @Pete Axt 
Just confirming we are targeting 50% DeployHostPercentage during downtime as usual for the CHECKLIST_VERSION MCP deploy tomorrow?",,Yes,
,Create Bug Bids Page,,Thu Jul 17,,Bug Bids Page: LINK,"1. Go to the previous version's Bug Bids Page (here)
2. Click ""..."" > Copy > Copy
3. Change title to Bug Bids for CHECKLIST_VERSION > Publish
4. Note the current values in the Issues Left column
5. Edit the page > Update the hard coded HL-1w and HL dates as per the FN Schedule
6. Clear the hardcoded values in HL-1W and HL columns (highlight and delete)

This section is borked until the <> is re-added back. Need to do manually until then :(((((
7. Select the <> icon to open in source editor
8. Find the version you copied from, replace all with the version you want > Apply > Update
9. Ensure the values have changed",,,Yes,
,Schedule Send Bug Bids Email 10 days prior to Hard Lock date at 10:30am,,Thu Jul 17,,Send scheduled for DATE,"1. Go to GMail and compose a new email
2. Send email using the suggested text in Column H
3. Link the bug bids page to the blue text
4. Change Day MM/DD to the date of review (monday the week of HL)
5. Once done, hit the drop down arrow on the blue Send button > Schedule Send
6. Pick a Date & Time > 10 days prior to Hard Lock date at 10:30am (See Cell F2)
7. Schedule Send
8. Go to your gmail > Scheduled (below sent) and review the preview to ensure it is all correct
9. Paste the scheduled send info in column F for reference ","The CHECKLIST_VERSION Bug Bids wiki has been created and is ready for you to enter your bids!
We will start reviewing at morning sync next week on DAY MM/DD.

Reminder, there's a link on the top of this page you can use to look at historic fix rate data for your components, which you can use to reason about what your teams can realistically tackle leading up to CHECKLIST_VERSION. Past Bug Bid pages are also still available for review under the Release Accountability parent page.

CHECKLIST_VERSION Dashboard: [Link]

Doing this thinking now, ahead of the hectic bugfix stage, will help identify rational targets you can use to guide triage activities & tradeoff decisions. 

Thanks,
Release Team","TO:
Release-Team@epicgames.com

CC:
FN-Prod-All <FN-Prod-All@epicgames.com>, FNE Release <fne-release@epicgames.com>

Subject:
Bug Bids for CHECKLIST_VERSION",Yes,
,"(Joe) I would just completely kill this line in favor of the Build Protection line just above.

Run Keep Release Candidate job for all final client candidate CLs.",,7/19/2025,,"PLATFORM_1: HORDE_JOB_LINK

PLATFORM_2: HORDE_JOB_LINK

PLATFORM_3: HORDE_JOB_LINK","1. Go to the REAL-XXXX ticket for this release to see the final candidate CLs
2. Go to the Promotions tab of Main Horde
3. Select the blue New Job button in top right
4. Change template dropdown to Keep Release Candidate
5. Put the first CL in the Change field and set the associated Promote Platforms field. Then Start Job.
   a. Re-Run for all Client CLs with their associated Promote Platforms field. ",,,,
,Verify the Android APK allowlist is in the game config file,,7/20/2025,,"Release Team no longer needs to send hotfixes to update CRC values when we ship new Android client builds. The 13.40 values need to stay, but the Android APK Whitelist hotfixes no longer function in 23.50+ . This is now being done on the AntiCheat side via Dragonfly.",Verify it is in the game config file,,,,
,Review Android APK allowlist syntax is included and correct in Release QA swarm link and in PredeployA files ,,7/21/2025,,"Release Team no longer needs to send hotfixes to update CRC values when we ship new Android client builds. The 13.40 values need to stay, but the Android APK Whitelist hotfixes no longer function in 23.50+ . This is now being done on the AntiCheat side via Dragonfly.",,,,,
,Create a Jira for StW Calendar/Store to be update/reviewed (CN/RoW),,7/17/2025,,,"Assign to Dav Harnish and CC Henry Meredith in comments
https://jira.it.epicgames.net/browse/FORT-247162",,,,
,Check Android APK size and make sure it is under 150 MB,,7/19/2025,,,Look at APK in the build folder,,,,
,Create a tab in FN Playlist Planning sheet and let stakeholders know in #fn-release-playlistplanning-ext that it now exists,,7/17/2025,,,"https://confluence.it.epicgames.com/display/FORT/Playlist+Planning

Note: If its a .10 release, spin up a thread. If its not, then mark this task as N/A.",,,,
,Schedule Meeting: Release Notes Signoff,,7/18/2025,,No Release Notes!,Thurs. of CertSub week,,,,
,Release Notes: Initial Setup and Email Sent,,7/18/2025,,No Release Notes!,,,,,
,Schedule Calendar Reminders: Release Notes Section Owners,,7/18/2025,,No Release Notes!,1 each day for 2 document days of release notes,,,,
,Order breakfast for morning of publish day,,7/16/2025,,Please bring this back!!!,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Send initial IOS Submission email,,7/16/2025,,,,,,,
,Update Google Play Roadmap email (if applicable),,7/16/2025,,,"to:
Dan Song <mtd@google.com(opens in new tab)>
Lawrence Koh <lawrencekoh@google.com(opens in new tab)>
CC
release-team
Jocelyn
Hans",,,,
,Send Release Notes 1st Draft to FN-Release-Updates,,7/16/2025,,No Release Notes!,,,,,
,Forward CN patch notes to EGC,,7/19/2025,,No Release Notes!,Forward version patch notes for China to Martin Yu. Martin will review and deliver to Tencent.,,,,
,Add IOS Whitelist Hotfix to MobileCert,,7/20/2025,,,,,,,
,Check iOS Compressed File Size,,Fri Jul 18,,"Compressed File Size: MB


Previously in 13.40 Release flagged if greater than 200 MB. Compressed sizes have increased in allowance from Apple.

We should still note what the size is and report to tech-mobile

Jira for investigations is FORT-772296

This process may be something we can remove, but need to keep an eye out for a few releases. [thread]","1. Go to https://appstoreconnect.apple.com/apps
2. Select Fortnite
3. Select TestFlight
4. Select the RC candidate Version and Build
5. View the Build Metadata for Compressed File Size
6. Record the size and pass along to Tech-Mobile",,,,
,Audit MobileCert environment config for potential cert blockers,,7/19/2025,,,,,,,
,Configure MobileCert Build Info,,7/19/2025,,,,,,,
,MobileCert: MCP Update,,7/19/2025,,,,,,,
,MobileCert: Server Promote,,7/19/2025,,,,,,,
,Cert Submission: iOS,,7/19/2025,,,,,,,
,Send email notifying Apple contacts that build is uploaded,,7/19/2025,,,,,,,
,Send email notifying Google contacts that build is uploaded,,7/19/2025,,,,,,,
,Remove MobileCert Redirect,,7/20/2025,,,,,,,
,Live: Update iOS Build Info,,7/20/2025,,,,,,,
,Remove Android Build Info from MobileCert,,7/20/2025,,,,,,,
,Live: Update LiveCN Build Info,,7/20/2025,,,Deploy will be coordinated with TC in #ext-fncn-live in Slack. TC will flip WeGame switches. THIS STEP IS ONLY NEEDED IF STAGING THE CN BUILD FAILED.,,,,
,Update Apple Cert Timing Tracker,,7/21/2025,,,,,,,
,Update EULA if requested by Legal,,7/18/2025,,,,,,,
,VVV To be Re-Added Once iOS comes back VVV,,,,,,,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for LOPS to copy at time of release,,7/20/2025,,Only Android?,"Android: Whitelist syntax needs to be added
IOS: Remove the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0)",,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for QA to not be blocked,,7/21/2025,,,"Android: Whitelist synatx needs to be removed
IOS: Add the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0",,,,
,Determine if release breaks Replays and/or if we should whitelist any old CLs,,7/18/2025,,https://wiki.it.epicgames.net/pages/viewpage.action?spaceKey=FORT&title=Replay+Whitelisting,"Should be considered if we are breaking replays of a major Live event from the previous release
Ask Shak or Matt Grandstaff",,,,
,Test verify PS4 remaster jobs have no errors or warnings,,7/18/2025,,,"Nightly Job ""Publish PS4 Remaster Submission Packages (SIEA (07022)  Only)""",,,,
,Confirm all Non-Unity warnings and errors are fixed or benign,,7/18/2025,,,,,,,
,PS4: Update R:\Analytics\sony_version.csv,,7/21/2025,,I refuse,Instruction Doc,,,,
,,,,,,,,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for QA to not be blocked,,7/21/2025,,,"Android: Whitelist synatx needs to be removed
IOS: Add the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0",,,,
,"[24 hrs before] 

Inform Tencent and Community",,#REF!,,,"24 hrs before - Inform in #ext-fncn-live @Sula Yu and CN QA deply captain
Check EGC QA Checklist > Captain tab  for additional @
https://docs.google.com/spreadsheets/d/1nUx7qP1aLLU6D1VVv0Q4mx18aMMG_tz5vmQC0Z9wxgc/edit?usp=sharing ",,,,
,"[24 hrs before] 

Release JIRA",,#REF!,,,Link Release management Jira ticket here,,,,
,"[2 hours befire] 

Hotfixes Checked In and Previewed",,#REF!,,Check fn-release-team around 4PM ET,"RQA will provide a Swarm shelf to approve and merge around 4PM ET
https://docs.google.com/spreadsheets/d/1w5PQcnciR-lbbU6H6m0aaqgiFWNRbttSr7uEoCmKUzk/edit#gid=2063781583 ",,,,
,"[2 hours before] 

Schedule Downtime (Fortnite)",,#REF!,,Schedule sometime before 4:40pm,https://adminportal-website-management.ol.epicgames.net/lightswitch2/schedule/fortnitelivecn?server=Lightswitch&moduleName=lightswitch,,,,
,"[1 hrs before] 

Verify Client, Server, and MCP for release",,#REF!,,,Pinged in Release Private if unsure of any changes,,,,
,"[1 hrs before] 

Internal Release Email",,#REF!,,,"fncn-live@epicgames.com,
fn-live, 
online-infra, 
global-live-deployments",,,,
,"[35 min before] 

Turn off FN CN Alerts",,#REF!,,Poke liveOPS at MMS disable,"Request liveOPS pause FN Grafana integration in OpsGenie
https://epicgames.app.opsgenie.com/teams/dashboard/76f730d9-7346-4f83-b599-ab3589ba2fce/integrations",,,,
,"[35 min before] 

Alternatively, Set False to True for Playlist Restrictions Configuration
section at https://adminportal.ol.epicgames.net/fortnite/profileProxy?server=Fortnite%20China&moduleName=fortnite
Click MMS at top and scroll down to Playlist Restrictions Configuration
Set disableAllMatchmaking to true",,#REF!,,,"35mins before LS down
Edit directly under Admin Portal
https://adminportal-website-management.ol.epicgames.net/fortnite/systemFiles
Make sure you are in ""Fortnite China""
Notify fn-release-deploy (FN-Deploy Public) and Mission Control slack channels ",,"For Old Hotfix Method: 

DefaultGame.ini 
[/Script/FortniteGame.FortGameInstance]
bBattleRoyaleMatchmakingEnabled=false",,
,,,,,,,,,,
,Item,Status,Due by,Done by,Temp-Notes, Perma-Notes,,,,
,Confirm Lightswitch down status,,#REF!,,,Check status has switched to DOWN - https://adminportal-website-management.ol.epicgames.net/lightswitch2/schedule/fortnitelivecn?server=Lightswitch&moduleName=lightswitch,,,,
,Lightswitch down notifications,,#REF!,,,Post message in fn-release-deploy and Mission Control slack channels,,,,
,We Games access disabled,,#REF!,,,"Notify ext-fncn-live to disable access for we games. 
More often than not this is Sula, but confirm it isn't a different Tencent employee",,,,
,"Deploy ""Go Live"" INI Hotfix config (make sure this is done before server deploy to ensure hotfix config is pulled correctly)",,#REF!,,,"Can move on to MCP and Client deploys until Hotfix is done.
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,,,
,Deploy MCP ,,#REF!,,,"Deploy %: 50%
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,,,
,Deploy MMS,,#REF!,,,"Done by MMS team after matcmaking is disabled - confirm with them during release sync if a deployment is being done. 
Loop them in when light switch down",,,,
,PC Client Deploy - Use Promotion Job (Client),,#REF!,,,"Whole build string, LiveCN, only Windows.
Allow Live Promotions and BPT checked
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy Public",,,,
,"Server Deploy

",,#REF!,,"Make sure Hotfix is underway before Deploying Server. Otherwise servers won't get new hotfixes for possibly 4 hours. 
","Start immediately after hotfix deploy, due to server prep time, hotfixes should be live just prior to sessions starting
Fleet: LiveCN
Cohort: Main
Use fast deploy option for downtime releases.
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,,,
,,,,,,,,,,
,Item,Status,Due by,Done by,Temp-Notes, Perma-Notes,,,,
,Nvidia: reply to already existing corresponding release thread in #ue-partner-nvidia-ext with courtesy status updates,,7/21/2025,,,"Usually Douglas Valkenaar, Alexander Gustev or Andrew Saritsky - #external-nvidia channel",,,Maybe?,
,StW Whiteglove,,#REF!,,,Poke ext-fccn-live with @s to start whiteglove,,,,
,BR Whiteglove,,#REF!,,,Whiteglove is completed by both Epic CN and Tencent teams separately - need confirmation from both teams of a successful check.,,,,
,If help is needed flushing buckets,,#REF!,,"Click ""Direct control panel link"" in next link",https://adminportal-website-management.ol.epicgames.net/fortnite/profileProxy?server=Fortnite%20China&moduleName=fortnite,,,,
,Re-enable Light Switch Up,,#REF!,,,"Ready once the whiteglove has been confirmed and without any issues
Update status message to Fortnite is up!
Notify Sula - Access has been re-enabled. @Sula Yu please re-enable from wegames side as well
Notify in Mission Control and FN-Release-Deploy - No whiteglove callout and lightswitch up",,,,
,Re-enable CN alerts,,#REF!,,,"Unpause FN Grafana integration in OpsGenie
https://epicgames.app.opsgenie.com/teams/dashboard/76f730d9-7346-4f83-b599-ab3589ba2fce/integrations",,,,
,Post in #buildfarm-support to remove the previous release version,,#REF!,,,Reach out to Build Farm Support via #buildfarm-support channel in slack and ask them to remove the previous branch from horde after CN deploy is complete,,,,
,Archive previous release Slack channel,,#REF!,,,,,,,
