,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
OPS,Generate Optimized Patches (chunkdbs) for all platforms delpoying,TODO,Sun Jul 20,,Horde Job(s): LINK,"Wiki: https://confluence-epicgames.atlassian.net/wiki/spaces/ERM/pages/98213590/Generate+Optimized+Patches
1. Go to the Patching tab of Main-Horde
2. Select the 'New Job' button, and choose the Generate Optimized Patches (chunkdbs) template.
3. Set the Build Version to the ++CL that is being released (from the REAL-XXXX ticket)
4. Check Generate ChunksDBs Against Rollback Labels. 
5. Set Platforms to any of the platforms that apply to the ++CL in step 3.
   a. Process update – run this for all platforms that are patching
6. Start Job
7. Re-run steps until all 4 platforms and their corresponding ++CLs are captured
   a. escalate errors/warnings to #fn-tech-ext (if applicable) for fixes","Hi INSERT_PERSON

I'm getting some errors while running the Optimized Patch Job for our CHECKLIST_VERSION INSERT_ERRORING_PLATFORMS clients. Wondering if someone can take a look and advise on next steps.",,,
OPS,Final Client Build Protection,TODO,Sun Jul 20,,"CL(s) Protected:

- 12345","Wiki: https://confluence.it.epicgames.com/display/FORT/Build+Protection
1. Go to the Build Protection Sheet, duplicate the Template and rename the copy to CHECKLIST_VERSION
2. Populate the following fields for each unique CL we intend of releasing
   a. Version/Team = CHECKLIST_VERSION. Only use a team name if another team asks to protect a certain build (ex. winterbreak)
   b. Platform = Platform (All or individual platforms)
   c. Build Version = ++CL (from Horde / Release Ticket)
   d. Stage Job (Android) = Link to Android Promotion Job from Main Horde
   e. Keep Release Candidate Script = Link to the job from Main Horde (Clients Only)
3. Check the corresponding box once complete

For UEFN Client Protection:
  - Rerun the UEFN Client CL with Windows checked off",,,,
OPS,Final Server Build Protection,TODO,Sun Jul 20,,"CL(s) Protected:

- 12345","Wiki: https://confluence.it.epicgames.com/display/FORT/Build+Protection
1. Go to the Build Protection Sheet, duplicate the Template and rename the copy to CHECKLIST_VERSION
2. Populate the following fields for each unique CL we intend of releasing
   a. Version/Team = CHECKLIST_VERSION. Only use a team name if another team asks to protect a certain build (ex. winterbreak)
   b. Platform = Linux 
   c. Build Version = ++CL (from Horde / Release Ticket)
   d. Stage Job (Android) = Link to Android Promotion Job from Main Horde
   e. Keep Release Candidate Script = Link to the job from Main Horde (Clients Only)
3. Check the corresponding box once complete

For UEFN Server Protection:
  - Rerun the UEFN Client CL with Windows checked off",<--- This is a straight dupe of client... need to update for server,,,
OPS,Copy entire build(s) to Milestone Archive ,TODO,Mon Jul 21,,,"Wiki: https://horde.devtools.epicgames.com/stream/fortnite-main?tab=Misc
This is a copy of the entire build as it appears in the build folder to keep from having to rebuild if it is needed.

Archive Fortnite Build CLs (New Job > Archive Fortnite Build > add in the ++CLs > Start Job). For Clients archive the clients and the Content Worker. This can later be found at : P:\Builds\Archive\Fortnite-Releases\Milestone++Fortnite+Release-CHECKLIST_VERSION-CL-12345678",,,Maybe?,
OPS,Disable remaining unneeded builds,TODO,Sun Jul 20,,"DO THIS THE DAY BEFORE RELEASE

Commit CL: 12345","1. Go to here in P4:
//Fortnite/Main/FortniteGame/Build/Streams/fortnite-release-CHECKLIST_VERSION.stream.json
2. Check out and open file 
3. Create a shelf using the suggested P4 Description in Column H -->
4. Find ""Nightly Build with Build Health""
5. In the ""schedule"" section > change ""enabled"": true  to ""enabled"": false 
6. Repeat steps 4-5 for:
   a. ""Nightly Data Rebuild""
   b. ""World Partition Build""
   c. ""Juno Limited Build""
   d. ""Export Item Shop"" `nightly-export-item-shop` (Does not need to be enabled on Dev-FN-XX)
   f. ""Build Tests - Twice Weekly""
   g. ""Build Tests - Thrice Weekly""
   h. ""Nightly UEFN Data Rebuild""
   i. ""compatlabnightly""
7. Save and commit in P4
9. Send courtesy message in Slack to #buildfarm-support-ext using the suggested P4 Description in Column I -->","Disabling the below jobs for Release-CHECKLIST_VERSION:

- Nightly Build with Build Health, Nightly Data Rebuild, World Partition Build, Juno Limited Build, Export Item Shop, Build Tests - Weekly, Build Tests - Twice Weekly, Build Tests - Thrice Weekly, Nightly UEFN Data Rebuild, CompatLabNightly

#jira none
#fyi stan.hormell, swarm-ue-build-reviews
#rnx","Hi Build Farm, just wanted to inform you that we disabled the below jobs for CHECKLIST_VERSION at CL XXXXXX.

- Nightly Build with Build Health, Nightly Data Rebuild, World Partition Build, Juno Limited Build, Export Item Shop, Build Tests - Weekly, Build Tests - Twice Weekly, Build Tests - Thrice Weekly, Nightly UEFN Data Rebuild, CompatLabNightly

That's all!",,
,Signoff and Submission,,,,,,,,,
,,IN PROGRESS,,,,,,,,
OPS,Verify no new client CLs have been introduced between Final Client WhiteGlove and Final Server/MCP WhiteGlove tests.,TODO,Sun Jul 20,,"Swarm Delta: https://p4-swarm.epicgames.net/files/Fortnite/release-CHECKLIST_VERSION?range=@FINAL_CLIENT_CL,@FINAL_SERVER_CL#commits ","1. Go to the Final Client WG in the #fn-release-CHECKLIST-VERSION-ext channel and note the CL(s) being tested
2. Go to the Final Server/MCP WG in the #fn-release-CHECKLIST-VERSION-ext channel and note the CL(s) being tested
   a. Ensure these are the intended CLs when comparing with the REAL-XXXX ticket
3. Go to Swarm and edit the link to point to the checklist version and bookend the 2 CLs above. 
   /release-CHECKLIST_VERSION?range=@CLIENT_CL,@SERVER_MCP_CL#commits
4. Ensure all CLs have a Release Manager upvote (which means we have approved and they are not snuck in).
   a. You can ignore submissions from ""Build Machine""
5. If there are any Client CLs, escalate in the #fn-release-mgmt-team-ext immediately",,,,
,Pre-Release	,,,,,,,,,
,,IN PROGRESS,,,,,,,,
OPS,Confirm with Discovery team that the Analytics Stuff revision has been deployed to Live,TODO,Sun Jul 20,,Slack: LINK,"1. Using the DAD request thread, confirm with Disco team that the Analytics Stuff was updated appropriately for the pending release","Hello again! 

Just have a checklist item for today to confirm that the Analytics Stuff revision has been deployed to Live and there is no further work expected to finalize for our CHECKLIST_VERSION deploy tomorrow?

We all set and ready to :rock: & :rollcat: ?",,Yes,
OPS,Verify Release Request is accurate,TODO,Sun Jul 20,,,"1. Look at REAL-XXXX Ticket to ensure everything is up to date and any last minute changes have been captured
  ex. Clients/Backends/PatchSizes, Release Callouts (migrations, etc) ",,,Maybe?,
OPS,Release Owner: Log into all deploy-related tools,TODO,Fri Jul 18,,"Set a scheudled reminder for the deploy owner 2 days prior during their core hours (or if they are OOO at that time, find a time when they are available before the deployment)","1. Log into the following services to ensure their platform is functioning and that you have access and will not be blocked at the last minute.

Internal
   a. Swarm
   b. LightSwitch2
   c. DS Portal
   d. Horde
   e. Grafana
   f. Analytics
   g. Data Asset Directory (DAD)

External
   a. PlayStation
      i. PlayStation 5
      ii. PlayStation 4
   b. Microsoft Partner Center
   c. Nintendo Content Management System
   d. Nintendo Developer Portal
   e. NVIDIA GeForce Now
   f. Amazon Luna
   g. Android OPPO",,,,
,"   ___     ___  __      __          ___             _ __     _              _  _  
  | _ \   / _ \ \ \    / /  o O O  |   \    ___    | '_ \   | |     ___    | || | 
  |   /  | (_) | \ \/\/ /  o       | |) |  / -_)   | .__/   | |    / _ \    \_, | 
  |_|_\   \___/   \_/\_/  TS__[O]  |___/   \___|   |_|__   _|_|_   \___/   _|__/  
_|""""""""""|_|""""""""""|_|""""""""""| {======|_|""""""""""|_|""""""""""|_|""""""""""|_|""""""""""|_|""""""""""|_| """"""""| 
""`-0-0-'""`-0-0-'""`-0-0-'./o--000'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-'""`-0-0-' ",,,,,,,,,
,Lead-up to Downtime - Deployment Owner	,,,,,,,,,
,Item,Status,Due buy,Done by,Temp-Notes, Perma-Notes,,,,
OPS,Set up Crash Reporter prior to release for Switch (does not apply for Switch 2),TODO,Mon Jul 21,,,"Wiki: https://confluence.it.epicgames.com/display/FORT/Change+Switch+Crash+Reporter+Version
1. Navigate to the below file on the P drive (easily done on a Remote Machine)
   P:\Symbols\Switch\LiveSymbols\FortniteClient-Switch-Shipping.nsp
2. Open the file and swap in CHECKLIST_VERSION & the ++CL for the Switch Client
3. Save and you are done",,,,
OPS,Final review of Release Request information,TODO,Mon Jul 21,,,"1. Make sure all build artifacts match expectations and what was whitegloved by Release QA
2. Make sure all checklist items were completed",,,,
OPS,Review initial build info setup,TODO,Mon Jul 21,,,"1. Make sure Android and Switch candidates are propped up in Live Build Info
2. Make sure Switch build info was removed from NSCert Build Info",,,,
OPS,Verify Generate Optimized Patch was run against the correct build and finished successfully.,TODO,Mon Jul 21,,,"Wiki: https://confluence.it.epicgames.com/display/FORT/Generate+Optimized+Patches
Process update – check this for all platforms that are patching, not just (Android, PC, PS4, XB1, IOS)

Escalate any issues to the #fn-tech-ext channel",,,,
OPS,"

Tag Live Ops to Disable Alerts.",TODO,Mon Jul 21,,[Downtime minus 40 mins],Only LOps has access to the alerts. Ping whomever is on call to disable. Otherwise there are fireworks. ,,,Maybe?,
OPS,"

Disable server scaledown (""Pin"" server scaling)",TODO,Mon Jul 21,,[Downtime minus 35 mins],"Navigate to DS Portal for Live > Click the Scale Down toggle to OFF (top right) to keep servers from scaling down during downtime.

Be sure to post in #fn-release-deploy-ext that this step was done.",,,,
OPS,"

Disable Matchmaking",TODO,Mon Jul 21,,[Downtime minus 30 mins],"Option 1: MMS Admin Portal toggle button (Navigate to the Live MMS AP page > In the ""Playlist Restrictions Configuration"" section change ""disableAllMatchmaking"": to true > Hit the Update button)

Option 2: Hotfix directly through Admin Portal System Files
DefaultGame.ini
[/Script/FortniteGame.FortGameInstance]
bBattleRoyaleMatchmakingEnabled=false",,,,
OPS,Start downtime Aegis Prewarm,TODO,Mon Jul 21,,,"1. Go to https://aegis-web.bfda.live.use1a.on.epicgames.com/prewarm 
2. Queue up 1000 Links for all Platforms",,,,
OPS,"Start ""[Thread] Updates on CHECKLIST_VERSION Fortnite release:"" in #pub-fortnite slack channel",TODO,Mon Jul 21,,Update with latest big callouts. ,"Example: https://epicgames.slack.com/archives/C044WR7HZDG/p1691482159647189
[Thread] Updates on CHECKLIST_VERSION Fortnite release:
(post)
Matchmaking Disabled at 3:30 AM ET
LightSwitch Down at 4:00 AM ET
Deploy started on time (4am ET) and so far things are going smoothly. Estimated uptime is ~5/5:15am ET. Will crosspost any major updates or issues here.",,,Yes,
OPS,"Check in ""Go Live"" Hotfix config and run Preview job",TODO,Mon Jul 21,,,"Swarm link prepped by Release QA the night prior to release morning

Hotfix Deploy Runbook",,,,
,During Downtime - Deployment Owner	,,,,,,,,,
,Item,Status,Due Buy,Done by,Temp-Notes, Perma-Notes,,,,
OPS,Confirm FN Lightswitch down ,TODO,Mon Jul 21,,,Validate via Login data that downtime has started properly. (Success by Region/Platform in particular),,,,
OPS,PS4/PS5 Client Publish SIEA (07022) ,TODO,Mon Jul 21,,New process has PS4/PS5 scheduled like Switch/XB1/XSX,"Tip: You might have to be on VPN AND Remote Desktop if performing from a location that does not have a allowlisted IP address.

Log in to PlayStation Partners portal then follow these steps in the PS5 section.",,,,
OPS,PS4/PS5 Client Publish SIEE (07669) ,TODO,Mon Jul 21,,New process has PS4/PS5 scheduled like Switch/XB1/XSX,"Tip: You might have to be on VPN AND Remote Desktop if performing from a location that does not have a allowlisted IP address.

Log in to PlayStation Partners portal then follow these steps in the PS5 section.",,,,
OPS,Deploy MCP,TODO,Mon Jul 21,,,MCP Deploy Runbook,,,,
OPS,Confirm MCP version is reflected in Fortnite Queue Worker Prod11,TODO,Mon Jul 21,,Queue Worker now auto deploys when we trigger an MCP deployment. We no longer need a manual job for QW. However we need to still confirm that QW updated correctly.,Fortnite Queue Worker Prod11 in TeamCity,,,,
OPS,"Deploy ""Go Live"" INI Hotfix config ",TODO,Mon Jul 21,,(make sure this is done before server deploy to ensure hotfix config is pulled correctly),"Swarm link prepped by Release QA the night prior to release morning

Hotfix Deploy Runbook",,,,
OPS,"PC Client Promotion
(also select WindowsGFN/WindowsLuna if unchecked)",TODO,Mon Jul 21,,"PC/Android can be the same job if build labels match
(Client deploy should align with Downtime)",Client Deploy Runbook,,,,
OPS,Android Client Promotion,TODO,Mon Jul 21,,"PC/Android can be the same job if build labels match
(Client deploy should align with Downtime)",Client Deploy Runbook,,,,
OPS,iOS Client Promotion (wiki linked),TODO,Mon Jul 21,,,"1. Update the Live-IOS build label to the new ADPID version in Admin Portal. 
2. Ensure that the ++ version is listed in LiveCompat.
3. Run GitHub Action Workflow to promote to AltStore
4. In App Store Connect release the App Store update",,,,
OPS,Deploy Servers,TODO,Mon Jul 21,,"Use the ""Fast"" option. When this is checked, hosts will immediately start the IPU process",Server Deploy Runbook,,,,
OPS,"Deploy ""Go Live"" Discovery DAD Hotfix",TODO,Mon Jul 21,,,Go Live Revision is found in the Game Config sheet. ,,,,
OPS,Confirm Switch/XSX/XB1/PS4/PS5 (our scheduled platforms) new versions are populating,TODO,Mon Jul 21,,(Client deploy should align with Downtime),,,,,
OPS,"Run Live promotion job for iOS, PS4, PS5, XB1, XSX, and Switch (no impact to Live players)",TODO,Mon Jul 21,,Escalate any issues to the #fn-tech-ext channel,"Example Thread: https://epicgames.slack.com/archives/C044TN4LVFT/p1667291267646149
Example Deploy: https://horde.devtools.epicgames.com/job/6360d85fe271e75dea797f32
22.30 Go Live PS4/PS5/XB1/XSX/Switch - Non-Player facing",,,,
OPS,Make sure Live Build Info is cleaned up (old fix versions no longer supported) before we go lightswitch up,TODO,Mon Jul 21,,Expand Live and Live-Compatible sections making sure older releases are not present. Every major release should be a forced patch.,"https://adminportal.ol.epicgames.net/launcher/buildinfo/app/Fortnite

Ensure that the Promotion Labels section correctly displays the new Live versions for all platforms (This must be done before Light Switch Up)

* Build Info for Windows and Shipping-Android should always be real and never fake/dummy/placeholder.
* IOS, PS4, PS5, XB1, XSX, and Switch will need to be manually updated using the labels from the Live Compat section
** Be sure to delete previously live Build Info from Live Compatible labels (Excluding 13.40 for now)",,,,
OPS,Scaling servers in downtime,TODO,Mon Jul 21,,[Uptime minus 15 mins],"Note: Servers can take 10-15 min to scale up, please plan appropriately 
Wiki: https://confluence-epicgames.atlassian.net/wiki/spaces/ERM/pages/98206124/Scaling+Servers+for+Deployments ",,,,
OPS,Make sure all Deploy Strategy callouts are finished before we go lightswitch up,TODO,Mon Jul 21,,,Refer to Release Ticket,,,,
OPS,Additional checks before fully going Lightswitch Up,TODO,Mon Jul 21,,,"""Additional checks before fully going Lightswitch Up:
-Make sure patch has been caught on all platforms by Release QA and that live patch sizes were close to estimates/not egregiously big
-If there are brand new non-brcore fleet LTMs going live at Lightswitch Up, confirm we are good with prescaling
-Ensure that any QA callouts are okay to come LS Up with, or have a SH that we can associate to each callout as needed
-Make sure Live Ops and Community owners approve going Lightswitch Up""",,,,
OPS,Re-enable Matchmaking if the MMS Admin Portal toggle approach was used to Disable Matchmaking above.,TODO,Mon Jul 21,,,"MMS Admin Portal toggle button (Navigate to the Live MMS AP page > In the ""Playlist Restrictions Configuration"" section change ""disable AllMatchmaking"": to false > Hit the Update button)
",,,,
OPS,"Fortnite Lightswitch Up. Put ""Fortnite is online"" in the message box",TODO,Mon Jul 21,,,"USE EXTREME CAUTION HERE: link to Lightswitch page

* Status = Up (for lightswitch UP)
* Message = Fortnite is online
* Add Actions = Fortnite_Free_Platforms
* Create Event",,,,
,Post-Release - Deployment Owner	,,,,,,,,,
,Item,Status,Due Buy,Done by,Temp-Notes, Perma-Notes,,,,
OPS,Tag Live Ops to ReEnable Alerts. ,TODO,Mon Jul 21,,[Uptime plus 30 mins],,,,,
OPS,End of deploy callout,TODO,Mon Jul 21,,,"Post the following message in the #fn-release-deploy channel once we are lightswitch up:
""Friendly reminder that for all general weirdness callouts from this point forward that are unrelated to the live whiteglove to please use #fn-release-CHECKLIST-VERSION""",,,Maybe?,
OPS,Monitor Live!,TODO,Mon Jul 21,,,"Monitor the related release slack channel and thread each one with an acknowledgement (most callouts will come from EU community):
-If high urgency: suggest making it a SH
-If low urgency: tag appropriate producers/owners to have a look as soon as they get on in normal hours",,,,
OPS,Update Hotfix Form/Slack Webhook to new release,TODO,Mon Jul 21,,"Scroll to the ""Then: Send Web Request"" and edit that entry. 
Update the webhook, and make sure to Save the changes.
Then make sure to Publish.","https://api.slack.com/apps/A044VB8SXFV/incoming-webhooks?
Add webhook url to FNR automation job: https://jira.it.epicgames.com/secure/AutomationProjectAdminAction!default.jspa?projectKey=FNR#/rule/661",,,,
OPS,"Add ""Planned Release Slots"" bookmark to slack channel",TODO,Mon Jul 21,,We should move this to channel creation. Also probably need to review the miro content itself,"Add ""Planned Release Slots"" bookmark to the now live release slack channel with a link to the Planned Release Slots Miro board",,,Yes,
OPS,Create HF Jira for each HF week,TODO,Mon Jul 21,,,Example: ERM-26491,,,Yes,
OPS,Set Slack channel Topic to Hotfix Request Form,TODO,Mon Jul 21,,,Example: Need a Hotfix? https://epic.gm/Hotfix ~ Email `release-team-oncall` to page Release-Team outside of office hours,,,Yes,
OPS,Do a manual post in #fn-live-updates that mentions we are up and copies in the ship list that should be pinned in the related release channel.,TODO,Mon Jul 21,,,"Example:
Good morning! We deployed CHECKLIST_VERSION this morning. Game opened up at 5:30 AM ET for players.
CHECKLIST_VERSION Ship List :ship:
* ship list notes here",,,Yes,
OPS,Change JIRA Release from Unreleased to Released,TODO,Mon Jul 21,,,Do nothing with any issues still on the release. OOB may linger.,,,,
OPS,Update Release Log and Release Request,TODO,Mon Jul 21,,,,,,Yes,
OPS,"Enable server scaledown (""Unpin"" server scaling) after server usage levels off closer to what it was pre-downtime. ",TODO,Mon Jul 21,,"[Uptime plus 2 hours]
Check in with LiveOps first.","Navigate to Autoscaler for Live > Click the Edit checkbox > Set ""Can Scale Down?"" to Yes

Be sure to post in #fn-release-deploy-ext that this step was done.",,,,
OPS,Zero Out AutoScaler Scaler Capacities,TODO,Mon Jul 21,,Do this when you unpin,https://fm-as-scale-fn-prod.ol.epicgames.net/fleet/live/scalecapacity,,,,
OPS,Send first Post-Deploy thread to #dev-roadmap-review,TODO,Mon Jul 21,,"1. 7am
2. 11am - Contact perf and get release updates to send out. 
3. Afternoon 
4. Next Day
*Add Slack reminders for the email updates","List of Reports

Each timestamp is a reply to the original thread!",,,Yes,
OPS,Set timed post for 2:30PM ET to: Post in #buildfarm-support-ext to remove the previous release version,TODO,Mon Jul 21,,Make sure to use the timed post feature in slack to send it at 2:30 PM ET. ,Reach out to Build Farm Support via #buildfarm-support-ext channel in slack and ask them to remove the previous branch from horde after the deploy is complete,,,Yes,
OPS,Make sure the Post Deploy Tracker has Stability information in time for the 10:00AM ET Stability Sync,TODO,Mon Jul 21,,,,,,Yes,
OPS,Send Day-2 Post-Deploy thread to #dev-roadmap-review,TODO,Tue Jul 22,,,Reply to the original thread! ,,,Yes,
,,,,,,,,,,
,Archived Tasks,,,,,,,,,
,Item,Status,Due by,Done by,Temp-Notes, Perma-Notes,,,,
OPS,Pre-upload symbols for the following (Within 24 hours of deployment),TODO,Sun Jul 20,,*No longer needed per #on-crashreporter-ext,"Wiki: https://wiki.it.epicgames.net/display/FORT/How+to+Index+Symbols+Manually+for+Crash+Reporter
1. Navigate to the CrashReporter_Symbol-Indexer folder and copy to your computer
2. Open the _Windows file by Right Click  > Run With Powershell 
3. Input the version number in the format XX.YY (Not XX.YY.Z) and hit enter
   CHECKLIST_VERSION
4. Input the CL from the REAL-XXXX Ticket (no ++) and hit enter
5. Repeat for Switch, Android, IOS & Linux",,,,
,"Confirm MCP deploy percentage with OGS (tag Pete Axt & Joe Pintozzi) and Live Ops.
   WIKI",,Sun Jul 20,,Slack: LINK,1. Make a post in #epic-live-operations-ext or #on-dbs-game-services-ext using the suggested text in Column H,"@Joe Pintozzi @Pete Axt 
Just confirming we are targeting 50% DeployHostPercentage during downtime as usual for the CHECKLIST_VERSION MCP deploy tomorrow?",,Yes,
,Create Bug Bids Page,,Thu Jul 17,,Bug Bids Page: LINK,"1. Go to the previous version's Bug Bids Page (here)
2. Click ""..."" > Copy > Copy
3. Change title to Bug Bids for CHECKLIST_VERSION > Publish
4. Note the current values in the Issues Left column
5. Edit the page > Update the hard coded HL-1w and HL dates as per the FN Schedule
6. Clear the hardcoded values in HL-1W and HL columns (highlight and delete)

This section is borked until the <> is re-added back. Need to do manually until then :(((((
7. Select the <> icon to open in source editor
8. Find the version you copied from, replace all with the version you want > Apply > Update
9. Ensure the values have changed",,,Yes,
,Schedule Send Bug Bids Email 10 days prior to Hard Lock date at 10:30am,,Thu Jul 17,,Send scheduled for DATE,"1. Go to GMail and compose a new email
2. Send email using the suggested text in Column H
3. Link the bug bids page to the blue text
4. Change Day MM/DD to the date of review (monday the week of HL)
5. Once done, hit the drop down arrow on the blue Send button > Schedule Send
6. Pick a Date & Time > 10 days prior to Hard Lock date at 10:30am (See Cell F2)
7. Schedule Send
8. Go to your gmail > Scheduled (below sent) and review the preview to ensure it is all correct
9. Paste the scheduled send info in column F for reference ","The CHECKLIST_VERSION Bug Bids wiki has been created and is ready for you to enter your bids!
We will start reviewing at morning sync next week on DAY MM/DD.

Reminder, there's a link on the top of this page you can use to look at historic fix rate data for your components, which you can use to reason about what your teams can realistically tackle leading up to CHECKLIST_VERSION. Past Bug Bid pages are also still available for review under the Release Accountability parent page.

CHECKLIST_VERSION Dashboard: [Link]

Doing this thinking now, ahead of the hectic bugfix stage, will help identify rational targets you can use to guide triage activities & tradeoff decisions. 

Thanks,
Release Team","TO:
Release-Team@epicgames.com

CC:
FN-Prod-All <FN-Prod-All@epicgames.com>, FNE Release <fne-release@epicgames.com>

Subject:
Bug Bids for CHECKLIST_VERSION",Yes,
,"(Joe) I would just completely kill this line in favor of the Build Protection line just above.

Run Keep Release Candidate job for all final client candidate CLs.",,7/19/2025,,"PLATFORM_1: HORDE_JOB_LINK

PLATFORM_2: HORDE_JOB_LINK

PLATFORM_3: HORDE_JOB_LINK","1. Go to the REAL-XXXX ticket for this release to see the final candidate CLs
2. Go to the Promotions tab of Main Horde
3. Select the blue New Job button in top right
4. Change template dropdown to Keep Release Candidate
5. Put the first CL in the Change field and set the associated Promote Platforms field. Then Start Job.
   a. Re-Run for all Client CLs with their associated Promote Platforms field. ",,,,
,Verify the Android APK allowlist is in the game config file,,7/20/2025,,"Release Team no longer needs to send hotfixes to update CRC values when we ship new Android client builds. The 13.40 values need to stay, but the Android APK Whitelist hotfixes no longer function in 23.50+ . This is now being done on the AntiCheat side via Dragonfly.",Verify it is in the game config file,,,,
,Review Android APK allowlist syntax is included and correct in Release QA swarm link and in PredeployA files ,,7/21/2025,,"Release Team no longer needs to send hotfixes to update CRC values when we ship new Android client builds. The 13.40 values need to stay, but the Android APK Whitelist hotfixes no longer function in 23.50+ . This is now being done on the AntiCheat side via Dragonfly.",,,,,
,Create a Jira for StW Calendar/Store to be update/reviewed (CN/RoW),,7/17/2025,,,"Assign to Dav Harnish and CC Henry Meredith in comments
https://jira.it.epicgames.net/browse/FORT-247162",,,,
,Check Android APK size and make sure it is under 150 MB,,7/19/2025,,,Look at APK in the build folder,,,,
,Create a tab in FN Playlist Planning sheet and let stakeholders know in #fn-release-playlistplanning-ext that it now exists,,7/17/2025,,,"https://confluence.it.epicgames.com/display/FORT/Playlist+Planning

Note: If its a .10 release, spin up a thread. If its not, then mark this task as N/A.",,,,
,Schedule Meeting: Release Notes Signoff,,7/18/2025,,No Release Notes!,Thurs. of CertSub week,,,,
,Release Notes: Initial Setup and Email Sent,,7/18/2025,,No Release Notes!,,,,,
,Schedule Calendar Reminders: Release Notes Section Owners,,7/18/2025,,No Release Notes!,1 each day for 2 document days of release notes,,,,
,Order breakfast for morning of publish day,,7/16/2025,,Please bring this back!!!,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Send initial IOS Submission email,,7/16/2025,,,,,,,
,Update Google Play Roadmap email (if applicable),,7/16/2025,,,"to:
Dan Song <mtd@google.com(opens in new tab)>
Lawrence Koh <lawrencekoh@google.com(opens in new tab)>
CC
release-team
Jocelyn
Hans",,,,
,Send Release Notes 1st Draft to FN-Release-Updates,,7/16/2025,,No Release Notes!,,,,,
,Forward CN patch notes to EGC,,7/19/2025,,No Release Notes!,Forward version patch notes for China to Martin Yu. Martin will review and deliver to Tencent.,,,,
,Add IOS Whitelist Hotfix to MobileCert,,7/20/2025,,,,,,,
,Check iOS Compressed File Size,,Fri Jul 18,,"Compressed File Size: MB


Previously in 13.40 Release flagged if greater than 200 MB. Compressed sizes have increased in allowance from Apple.

We should still note what the size is and report to tech-mobile

Jira for investigations is FORT-772296

This process may be something we can remove, but need to keep an eye out for a few releases. [thread]","1. Go to https://appstoreconnect.apple.com/apps
2. Select Fortnite
3. Select TestFlight
4. Select the RC candidate Version and Build
5. View the Build Metadata for Compressed File Size
6. Record the size and pass along to Tech-Mobile",,,,
,Audit MobileCert environment config for potential cert blockers,,7/19/2025,,,,,,,
,Configure MobileCert Build Info,,7/19/2025,,,,,,,
,MobileCert: MCP Update,,7/19/2025,,,,,,,
,MobileCert: Server Promote,,7/19/2025,,,,,,,
,Cert Submission: iOS,,7/19/2025,,,,,,,
,Send email notifying Apple contacts that build is uploaded,,7/19/2025,,,,,,,
,Send email notifying Google contacts that build is uploaded,,7/19/2025,,,,,,,
,Remove MobileCert Redirect,,7/20/2025,,,,,,,
,Live: Update iOS Build Info,,7/20/2025,,,,,,,
,Remove Android Build Info from MobileCert,,7/20/2025,,,,,,,
,Live: Update LiveCN Build Info,,7/20/2025,,,Deploy will be coordinated with TC in #ext-fncn-live in Slack. TC will flip WeGame switches. THIS STEP IS ONLY NEEDED IF STAGING THE CN BUILD FAILED.,,,,
,Update Apple Cert Timing Tracker,,7/21/2025,,,,,,,
,Update EULA if requested by Legal,,7/18/2025,,,,,,,
,VVV To be Re-Added Once iOS comes back VVV,,,,,,,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for LOPS to copy at time of release,,7/20/2025,,Only Android?,"Android: Whitelist syntax needs to be added
IOS: Remove the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0)",,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for QA to not be blocked,,7/21/2025,,,"Android: Whitelist synatx needs to be removed
IOS: Add the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0",,,,
,Determine if release breaks Replays and/or if we should whitelist any old CLs,,7/18/2025,,https://wiki.it.epicgames.net/pages/viewpage.action?spaceKey=FORT&title=Replay+Whitelisting,"Should be considered if we are breaking replays of a major Live event from the previous release
Ask Shak or Matt Grandstaff",,,,
,Test verify PS4 remaster jobs have no errors or warnings,,7/18/2025,,,"Nightly Job ""Publish PS4 Remaster Submission Packages (SIEA (07022)  Only)""",,,,
,Confirm all Non-Unity warnings and errors are fixed or benign,,7/18/2025,,,,,,,
,PS4: Update R:\Analytics\sony_version.csv,,7/21/2025,,I refuse,Instruction Doc,,,,
,,,,,,,,,,
,Make sure PredeployA Hotfix Files are set back to appropriate Android Whitelist and IOS Banning syntax for QA to not be blocked,,7/21/2025,,,"Android: Whitelist synatx needs to be removed
IOS: Add the following:
[/Script/FortniteGame.FortGameModeZone]
BanCodeAction_20=(AnyReason=2, UnsignedIPA=0)
BanCodeAction_28=(AnyReason=2, NoIOSCryptInfo=0",,,,
