36.00 EP: iOS EarlyPreloadScreen Stalls,Resolved,"-   We have introduced some stalls for reporting problems where users could get stuck during the installation/download
-   Some of these stalls were reporting incorrectly, as it was reporting some dialogs of the system getting interrupted, etc. We remove that, and keep just 2 conditions: user stuck for more than 30 seconds, and stuck at 100% waiting for cleanup)",configrules,#sh-06-11-36-00-ep-ios-earlypreloadscreen-stalls-ext,Rafael Ferrari,Tech-Mobile,,,
"
drivable vehicle in dashberry",In PIR,There is a drivable vehicle in Dashberry (and Timber Stake). Justin Moe is putting in a hot fix not to correct.,hotfix,#sh-06-11-drivable-vehicle-in-dashberry-ext,Corinne Cavallaro,,,,
Missing back bling from log-in incentive,Pending Release,"-   Determined a path forward in both updating the incentive in 36.10 to also include the missing back bling, and then retroactively granting the Back Bling via Make good after 36.10 has gone live (able to collect all players impacted)
-   Will avoid featuring the Adventure Peely offer until 36.10 to avoid negative player states (existing POR, but ensuring it remains that way)",36.10 MCP,#sh-06-11-missing-back-bling-from-log-in-incentive-ext,Juan Romero,,,,
"
frozen lake biome in ch6 Season 3 incorrectly is named splitting pins from season 1",Resolved,"QA was able to confirm that this is only impacting one landmark POI.
Quest team will put in a fix for 36.20: Jira ticket here FORT-923153",36.20 fix,#sh-06-11-frozen-lake-biome-in-ch6-season-3-incorr-ext,Corbin Barney,,FORT-923153,,
Leaderboards are broken,Active,"Setting Severity as 3 since this doesn't seem to be impacted major gameplay elements.",tbd,#sh-06-12-leaderboards-are-broken-ext,Philipp Reith,,FORT-923355,,
Switch and Switch 2 login fail % above 40%,Resolved,"We currently suspect this is related to the GCP outage in #sh-06-12-google-cloud-outage-ext. Since logins are likely failing on the switch side, we don't have a lot of details, but it would be nice to confirm they're not two separate issues, or at least see this recover when the GCP outage recovers",,#sh-06-12-switch-and-switch-2-login-fail-above-40-ext,,,,,
 Duos Console Cup - Login Timed Out,Resolved,,,#sh-06-13-duos-console-cup-login-timed-out-ext,,,,,
Crew sub are not getting season passes,Pending Release,"-  The issue is known and will be fixed in 36.10.
-  The impact is currently limited to ~278 players, with no significant concern raised by the community. The team is manually fixing the affected accounts. The ones listed in the PXE ticket have been fixed.
-  The team is fixing the account manually. The accounts reported in the PXE ticket have been addressed,",36.10 fix,#sh-06-13-crew-sub-are-not-getting-season-passes-ext,Loic Lautredou,,FORT-924303,,
Custom Lobbies save Quest Progress,Active,"Custom Lobbies save Quest Progress, and not XP
-we believe it's intended not to give XP
-BUT the quests still progress/complete, which blocks the player from completing them and earning XP in regular matches.
-only SAC (Support A Creator) players can make customs. Given that lower population, we will consider this SH a P3",36.10 Server?,#sh-06-13-custom-lobbies-save-quest-progress-ext,Henry Meredith,,FORT-924263,,
MotD links to shop can break UI,Mitigated,"Message of the day links to the shop are breaking frontend tab navigation if the player has already visited the shop recently.
There is a workaround of viewing a product details page to restore navigation.
This issue impacts live and the 36.10 build in cert.
A client fix is already committed to 36.20.",MOTD + 36.20 fix,#sh-06-13-motd-links-to-shop-can-break-ui-ext,,,FORT-921148,,
"
major fortnite impact",Mitigated,"fortnite login and matchmaking severe impact
-narrowed down the root cause to a bad redis shard in the locker service redis cluster. The shard was automatically decommissioned by AWS and we saw immediate recovery",Sev1,#sh-06-13-major-fortnite-impact-ext,,,FORT-924589,,
"
PS T3 Purchased Cosmetics from the Item Shop are not granted to the Locker",Active,"The Player's who made Item Shop purchases while the servers were experience an outage did not receive the items. The said items can't be found in the Player's inventory, even though the redemption can be seen on the Ledger.
This impacts different items and bundles, such as the ""Hank Hill"" bundle.
This happened when the servers were down, hence, 115 tickets were created related to this issue, all reported missing cosmetics they've purchased via the Item Shop.  ",,#sh-06-13-ps-t3-purchased-cosmetics-from-the-item-ext,,,,,
Music Leak,Active,,,Private Music SH,,,,,
Lava Legends pack advertises Firestarter instead Molten Valkyrie Wings,Mitigated,"Shop shows incorrect content for the lava legends pack.",36.00 MCP,#sh-06-14-lava-legends-pack-advertises-firestarter-ext,Alex Conner,,,,
Prod MCP issues,In PIR,k8s issues on a cluster potentially from a single pod is causing cluster-wide issues and preventing MCP deploys necessary to fix other issues.,,#sh-06-14-prod-mcp-issues-ext,,,,,
multi-second purchase latency,Active,"After purchasing an item on the FN shop, it takes a few seconds for the game to be responsive and confirm the purchase",,#sh-06-15-multi-second-purchase-latency-ext,,,,,
voice chat bug,Duplicate,,,#sh-06-15-voice-chat-bug-ext,,,,,
Ballistic Analytics partially broken since 36.00,Active,,,#sh-06-16-ballistic-analytics-partially-broken-sin-ext,,,,,
live ds hosts failing to boot,In PIR,"DS hosts are failing to boot due to a failure while decompressing an lz4 symbol table, this caused lower than expected DS capacity in ME leading to 402s",,#sh-06-16-live-ds-hosts-failing-to-boot-ext,,,,,
PS T3 Locked Styles for Zadie Outfit in Fortnite,Active,"Players are reporting that the Arctic and Jungle styles for the Zadie outfit are not unlocking after purchase, and the Zadie challenges required to unlock these styles are not appearing in the Quests tab.",,#sh-06-16-ps-t3-locked-styles-for-zadie-outfit-in-ext,,,,,
PS T3 Some players had their Fortnite inventory wiped after the v36.00 update,Active,Several player accounts had their Fortnite cosmetic items fully removed (sometimes hundreds) without a clear reason and without leaving any traces.,,#sh-06-17-ps-t3-some-players-had-their-fortnite-in-ext,,,,,
UEFN SH,,UEFN SH,,UEFN SH,,,,,
vk-edit-mtbf-is-sad,,vkEdit sessions are experiencing an increase in crashes and instability compared to pre-36.00,,#sh-06-17-vk-edit-mtbf-is-sad-ext,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Stuff Happens
(aka Pre-SH)",Status,Notes / Latest Update,Fix Type,Channel,Captain,Component,Jira Tickets,Release Ticket,Planned Release Date
hope-teaser-has-incorrect-despawn-behavior,Active,"Essentially behaviour on 36.00 for Hope will be:
New worlds - Hope & Tricera Ops spawn at the first BB POI the player visits, Hope will stop spawning if you've talked to Tricera Ops
Old worlds - if you've spoken to Tricera Ops, Hope will not show up
Old worlds - if you have not spoken to Tricera Ops, Hope will show up, and will stop spawning once you've talked to Tricera Ops
Until we change that for 36.10 with the new NPC and new entry where regardless if you've talked to Tricera or not, Hope should show up near the first BB POI you visit in 36.10 :nodcat:",Shipping buggy 36.00 / Client 36.10,#sh-05-29-hope-teaser-has-incorrect-despawn-behavi-ext,Stefanie Cage,Juno,PLAY-88283,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Duplicate,,,,,,,,
,No Issue,,,,,,,,
,Resolved,,,,,,,,
,In PIR,,,,,,,,
